WindowsVersion,ISOType,Language,FileName
2009,LP,de-de,Microsoft-Windows-LanguageFeatures-TextToSpeech-de-de-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,de-de,Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-Printing-WFS-FoD-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,de-de,Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~amd64~de-de~.cab
2009,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Handwriting-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,fr-fr,Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Speech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,fr-fr,Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2009,LP,fr-fr,Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-Printing-WFS-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2009,LP,fr-fr,Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
